entity_id,company_name,ssn_tax_id,address_line1,country_code,duns
ENR_001,Boston Managing Enterprises,222-33-444,22B Processing Center,US,121231
ENR_002,Boston Managing Solutions,222-33-444,22B Processing Center,US,121217
ENR_003,Boston Hold Resolve LLC,222-33-444,22B Process Center,US,121226
ENR_004,Boston Manage Corporation,222-33-444,22B Process Center,US,121216
ENR_005,Boston Hold Resolve Company Limited,222-33-444,22B Processing Center,US,121221
ENR_006,Boston Managing Holdings Resolution Company,222-33-444,22B Processing Center,US,121225
ENR_007,Boston Manage Services,222-33-444,22B Process Center,US,121227
ENR_008,Boston Hold Resolve,222-33-444,22B Processing Center,US,121230
ENR_009,The Boston Management,222-33-444,22B Process Center,US,121218
ENR_010,The Boston Manage Group,222-33-444,22B Processing Center,US,121224
ENR_011,Boston Marketing Holdings,222-33-444,22B Process Center,US,121229
ENR_012,Boston Managing Partners,222-33-444,22B Process Center,US,121222
ENR_013,Boston Managing Capital,222-33-444,22B Processing Center,US,121213
ENR_014,Boston Managed Enterprises,222-33-444,22B Process Center,US,121223
ENR_015,Boston Manage Solutions,222-33-444,22B Process Center,US,121214
NEG_001,Northwind Logistics Group,222-33-444,22B Process Center,US,121221
NEG_002,Harbor & Pine Capital,222-33-444,22B Process Center,US,121228
NEG_003,Summit Health Partners,222-33-444,22B Processing Center,US,121222
NEG_004,Blue Harbor Foods Ltd,222-33-444,22B Processing Center,US,121229
NEG_005,Crestview Telecom Holdings,222-33-444,22B Process Center,US,121230
