entity_id,company_name,ssn_tax_id,address_line1,country_code,duns
A001,Amazon Group,33331111,300 Main Street,US,5566778
A002,Amaxon Holdings,33331111,300 Main Street,US,5566779
A003,Amdspo Partners,33331111,300 Mulo Street,US,5566780
A004,Amazon Capital,33331111,300 Main Street,US,5566781
A005,Amaxon Enterprises,33331111,300 Mian Street,US,5566782
A006,Amazon Solutions,33331111,300 Main Street,US,5566783
A007,Amaxon LLC,33331111,300 Main Street,US,5566784
A008,Amazon Corporation,33331111,300 Main Street,US,5566785
A009,Amdspo Limited,33331111,300 Mulo Street,US,5566786
A010,Amazon Company,33331111,300 Main Street,US,5566787
A011,Amaxon Services,33331111,300 Mian Street,US,5566788
A012,Amazon,33331111,300 Main Street,US,5566789
A013,The Amaxon,33331111,300 Main Street,US,5566790
A014,Amazon Group,33331111,300 Main Street,US,5566791
A015,Amdspo Holdings,33331111,300 Mulo Street,US,5566792
A016,Amazon Partners,33331111,300 Main Street,US,5566793
A017,Amaxon Capital,33331111,300 Mian Street,US,5566794
A018,Amazon Enterprises,33331111,300 Main Street,US,5566795
A019,Amaxon Solutions,33331111,300 Mian Street,US,5566796
A020,Amazon LLC,33331111,300 Main Street,US,5566797
