entity_id,company_name,ssn_tax_id,address_line1,country_code,duns
A001,Amazon Group,13131313,150 Future Street,US,1155779
A002,Amazan Holdings,13131313,150 Future Street,US,1155780
A003,Amazoon Partners,13131313,150 Future Street,US,1155781
A004,Amazxyo Capital,13131313,150 Eutare Street,US,1155782
A005,Amazon Enterprises,13131313,150 Future Street,US,1155783
A006,Amazaan Solutions,13131313,150 Future Street,US,1155784
A007,Amazoon LLC,13131313,150 Eutare Street,US,1155785
A008,Amazan Corporation,13131313,150 Future Street,US,1155786
A009,Amazon Limited,13131313,150 Future Street,US,1155787
A010,Amazoon Company,13131313,150 Eutare Street,US,1155788
A011,Amazaan Services,13131313,150 Future Street,US,1155789
A012,Amazxyo,13131313,150 Eutucce St,US,1155790
A013,The Amazon,13131313,150 Future Street,US,1155791
A014,Amazan Group,13131313,150 Future Street,US,1155792
A015,Amazoon Holdings,13131313,150 Eutare Street,US,1155793
A016,Amazxyo Partners,13131313,150 Eutucce St,US,1155794
A017,Amazon Capital,13131313,150 Future Street,US,1155795
A018,Amazaan Enterprises,13131313,150 Future Street,US,1155796
A019,Amazxyo Solutions,13131313,150 Eutucce St,US,1155797
A020,Amazoon LLC,13131313,150 Eutare Street,US,1155798
