entity_id,company_name,ssn_tax_id,address_line1,country_code,duns
B001,Amazan Enterprises,13131313,150 Future Street,US,1155779
B002,Amazaan Solutions,13131313,150 Future Street,US,1155780
B003,Amazon LLC,13131313,150 Future Street,US,1155781
B004,Amazoon Corporation,13131313,150 Future Street,US,1155782
B005,Amazoon Limited,13131313,150 Eutare Street,US,1155783
B006,Amazxyo Company,13131313,150 Eutare Street,US,1155784
B007,Amazon Services,13131313,150 Future Street,US,1155785
B008,Amazxyo,13131313,150 Eutare Street,US,1155786
B009,The Amazaan,13131313,150 Future Street,US,1155787
B010,Amazan Group,13131313,150 Future Street,US,1155788
B011,Amazon Holdings,13131313,150 Future Street,US,1155789
B012,Amazoon Partners,13131313,150 Eutare Street,US,1155790
B013,Amazxyo Capital,13131313,150 Eutucce St,US,1155791
B014,Amazaan Enterprises,13131313,150 Future Street,US,1155792
B015,Amazon Solutions,13131313,150 Future Street,US,1155793
B016,Amazon LLC,13131313,150 Future Street,US,1155794
B017,Amazan Corporation,13131313,150 Future Street,US,1155795
B018,Amazoon Limited,13131313,150 Eutare Street,US,1155796
B019,Amazan Company,13131313,150 Future Street,US,1155797
B020,Amazaan Services,13131313,150 Future Street,US,1155798
