entity_id,entity_id,score,relationship_type,reason,rank,address_line1,company_name,country_code,ssn_tax_id
B001,A001,0.7988,review,top_scoring,1,100 Main St.,"O'Connor & Sons, LLC",US,321-54-8976
B002,A002,0.7181,review,top_scoring,1,101 Main St.,Smith-Jones Co.,US,321-54-8976
B003,A003,0.7858,review,top_scoring,1,102 Main St.,"Acme, Inc.",US,321-54-8976
B004,A004,0.9149,match,top_scoring,1,103 Commerce Ave,Foo/Bar Technologies,US,321-54-8976
B005,A005,0.8452,review,top_scoring,1,104 Commerce Ave,Gamma+Delta Enterprises,US,321-54-8976
B006,A006,0.8500,match,top_scoring,1,105 Market St.,Baker & McKenzie LLP,US,321-54-8976
B007,A007,0.8133,review,top_scoring,1,106 Market St,AT&T Services,US,321-54-8976
B008,A008,0.8806,match,top_scoring,1,107 Supply Rd.,"John's ""Quality"" Supplies",US,321-54-8976
B009,A009,0.8540,match,top_scoring,1,108 Industry Blvd,Widget Co. (R&D),US,321-54-8976
B010,A010,0.7505,review,top_scoring,1,109 Corporate Way,Mega—Corp International,US,321-54-8976
B011,A011,0.8637,match,top_scoring,1,110 Bistro Ln,Cafe & Co.,US,321-54-8976
B012,A012,0.7337,review,top_scoring,1,111 Home Dr,Hello@Home Ventures,US,321-54-8976
B013,A013,0.9215,match,top_scoring,1,112 Percent Pl.,Percent% Solutions,US,321-54-8976
B014,A014,0.8881,match,top_scoring,1,113 Auto Pkwy,Trim & Go!,US,321-54-8976
B015,A015,0.7788,review,top_scoring,1,114 Legal Ave,Lawyers: O'Neil & Partners,US,321-54-8976
B016,A016,0.8410,review,top_scoring,1,115 Line Rd,Two--Dash Industries,US,321-54-8976
B017,A017,0.8202,review,top_scoring,1,116 Dot St,Ellipsis Ltd...,US,321-54-8976
B018,A012,,match,crossmap,,111 Home Dr,Hello@Home Ventures,US,321-54-8976
B019,A019,0.7505,review,top_scoring,1,118 Path Ln,Slash/Back\\Corp,US,321-54-8976
B020,A020,0.7211,review,top_scoring,1,119 Quote Rd,Quotes 'Single' Co.,US,321-54-8976
