entity_id,company_name,ssn_tax_id,address_line1,country_code,duns
B001,Acme Enterprises,23242526,Paseo Padre Parkway,US,121314
B002,acme Holdings Solutions,23242526,Paseo Padre Pkwy,US,121315
B003,A Holdings LLC,23242526,Paseo Padre Parkway,US,121316
B004,Acme Holdings Corporation,23242526,Paseo Padre Pkwy,US,121317
B005,Acme Limited,23242526,Paseo Padre Pkwy,US,121318
B006,ACME Holdings Company,23242526,Paseo Padre Pkwy,US,121319
B007,Acme Holdings Services,23242526,Paseo Padre Parkway,US,121320
B008,A Holdings,23242526,Paseo Padre Parkway,US,121321
B009,The Acme,23242526,Paseo Padre Pkwy,US,121322
B010,ACME Holdings Group,23242526,Paseo Padre Parkway,US,121323
B011,Acme Holdings Holdings,23242526,Paseo Padre Pkwy,US,121324
B012,A Holdings Partners,23242526,Paseo Padre Parkway,US,121325
B013,ACME Holdings Capital,23242526,Paseo Padre Pkwy,US,121326
B014,Acme Enterprises,23242526,Paseo Padre Parkway,US,121327
B015,A Holdings Solutions,23242526,Paseo Padre Pkwy,US,121328
B016,ACME Holdings LLC,23242526,Paseo Padre Parkway,US,121329
B017,Acme Corporation,23242526,Paseo Padre Pkwy,US,121330
B018,ACME Holdings Limited,23242526,Paseo Padre Parkway,US,121331
B019,A Holdings Company,23242526,Paseo Padre Pkwy,US,121332
B020,Acme Holdings Services,23242526,Paseo Padre Parkway,US,121333
