entity_id,company_name,ssn_tax_id,address_line1,country_code,duns
A001,Goldman Sachs Group,89786759,301 Tyvola Street,US,454647
A002,The Goldman Sachs Holdings,89786759,301 Tyvola Street,US,454648
A003,Goldman and Sachs Partners,89786759,301 Tyvola Street,US,454649
A004,Goldman Sachs Capital,89786759,301 Tyvola Street,US,454650
A005,Goldman and Sachs Enterprises,89786759,301 Tyvola Street,US,454651
A006,Goldman Sachs Solutions,89786759,301 Tyvola Street,US,454652
A007,Goldman Sachs LLC,89786759,301 Tyvola Street,US,454653
A008,Goldman and Sachs Corporation,89786759,301 Tyvola Street,US,454654
A009,The Goldman Sachs Limited,89786759,301 Livola Street,US,454655
A010,Goldman Sachs Company,89786759,301 Tyvola Street,US,454656
A011,Goldman or Sachs Services,89786759,301 Tyvola St,US,454657
A012,Goldman Sach,89786759,301 Tyvola Street,US,454658
A013,The Goldman Sachs,89786759,301 Tyvola Street,US,454659
A014,The Goldman Sachs Group,89786759,301 Tyvola Street,US,454660
A015,Goldman and Sachs Holdings,89786759,301 Tyvola Street,US,454661
A016,Goldman or Sachs Partners,89786759,301 Tyvola Street,US,454662
A017,Goldman Sachs Capital,89786759,301 Tyvola Street,US,454663
A018,Goldman Sach Enterprises,89786759,301 Tyvola Street,US,454664
A019,The Goldman Sachs Solutions,89786759,301 Tyvola Street,US,454665
A020,Goldman Sachs LLC,89786759,301 Tyvola Street,US,454666
