entity_id,company_name,ssn_tax_id,address_line1,country_code,duns
B001,Goldman and Sachs Enterprises,89786759,301 Tyvola Street,US,454647
B002,Goldman Sachs Solutions,89786759,301 Tyvola Way,US,454648
B003,Goldman or Sachs LLC,89786759,301 Tyvola St,US,454649
B004,Goldman Sach Corporation,89786759,301 Tyvola Street,US,454650
B005,The Goldman Sachs Limited,89786759,301 Tyvola Street,US,454651
B006,Goldman or Sachs Company,89786759,301 Tyvola St,US,454652
B007,Goldman Sach Services,89786759,301 Tyvola Street,US,454653
B008,Goldman Sachs,89786759,301 Tyvola Street,US,454654
B009,The Goldman and Sachs,89786759,301 Tyvola Street,US,454655
B010,Goldman and Sachs Group,89786759,301 Tyvola Street,US,454656
B011,The Goldman Sachs Holdings,89786759,301 Tyvola Street,US,454657
B012,Goldman Sachs Partners,89786759,301 Tyvola Street,US,454658
B013,Goldman and Sachs Capital,89786759,301 Tyvola Street,US,454659
B014,Goldman Sachs Enterprises,89786759,301 Tyvola St,US,454660
B015,Goldman Sach Solutions,89786759,301 Tyvola Street,US,454661
B016,Goldman Sachs LLC,89786759,301 Tyvola Way,US,454662
B017,The Goldman Sachs Corporation,89786759,301 Tyvola Street,US,454663
B018,Goldman and Sachs Limited,89786759,301 Livola Street,US,454664
B019,Goldman or Sachs Company,89786759,301 Tyvola Street,US,454665
B020,Goldman Sachs Services,89786759,301 Tyvola Street,US,454666
