entity_id,entity_id,score,relationship_type,reason,rank,address_line1,company_name,country_code,duns,ssn_tax_id
B001,A001,,match,crossmap,,301 Tyvola Street,Goldman Sachs Group,US,454647,89786759
B002,A002,,match,crossmap,,301 Tyvola Street,The Goldman Sachs Holdings,US,454648,89786759
B003,A003,,match,crossmap,,301 Tyvola Street,Goldman and Sachs Partners,US,454649,89786759
B004,A004,,match,crossmap,,301 Tyvola Street,Goldman Sachs Capital,US,454650,89786759
B005,A005,,match,crossmap,,301 Tyvola Street,Goldman and Sachs Enterprises,US,454651,89786759
B006,A006,,match,crossmap,,301 Tyvola Street,Goldman Sachs Solutions,US,454652,89786759
B007,A007,,match,crossmap,,301 Tyvola Street,Goldman Sachs LLC,US,454653,89786759
B008,A008,,match,crossmap,,301 Tyvola Street,Goldman and Sachs Corporation,US,454654,89786759
B009,A009,,match,crossmap,,301 Livola Street,The Goldman Sachs Limited,US,454655,89786759
B010,A010,,match,crossmap,,301 Tyvola Street,Goldman Sachs Company,US,454656,89786759
B011,A011,,match,crossmap,,301 Tyvola St,Goldman or Sachs Services,US,454657,89786759
B012,A012,,match,crossmap,,301 Tyvola Street,Goldman Sach,US,454658,89786759
B013,A013,,match,crossmap,,301 Tyvola Street,The Goldman Sachs,US,454659,89786759
B014,A014,,match,crossmap,,301 Tyvola Street,The Goldman Sachs Group,US,454660,89786759
B015,A015,,match,crossmap,,301 Tyvola Street,Goldman and Sachs Holdings,US,454661,89786759
B016,A016,,match,crossmap,,301 Tyvola Street,Goldman or Sachs Partners,US,454662,89786759
B017,A017,,match,crossmap,,301 Tyvola Street,Goldman Sachs Capital,US,454663,89786759
B018,A018,,match,crossmap,,301 Tyvola Street,Goldman Sach Enterprises,US,454664,89786759
B019,A019,,match,crossmap,,301 Tyvola Street,The Goldman Sachs Solutions,US,454665,89786759
B020,A020,,match,crossmap,,301 Tyvola Street,Goldman Sachs LLC,US,454666,89786759
