entity_id,company_name,ssn_tax_id,address_line1,country_code,duns
A001,Boston Managing Holdings Resolution Group,222-33-444,22B Processing Center,US,121212
A002,Boston Managing Holdings,222-33-444,22B Processing Center,US,121213
A003,Boston Manage Partners,222-33-444,22B Process Center,US,121214
A004,Boston Holding Resolution Capital,222-33-444,22B Processing Center,US,121215
A005,Boston Manage Enterprises,222-33-444,22B Process Center,US,121216
A006,Boston Managing Solutions,222-33-444,22B Processing Center,US,121217
A007,Boston Management LLC,222-33-444,22B Process Center,US,121218
A008,Boston Managed Corporation,222-33-444,22B Processing Center,US,121219
A009,Boston Managing Holdings Resolution Limited,222-33-444,22B Processing Center,US,121220
A010,Boston Hold Resolve Company,222-33-444,22B Processing Center,US,121221
A011,Boston Managing Services,222-33-444,22B Process Center,US,121222
A012,Boston Managed,222-33-444,22B Process Center,US,121223
A013,The Boston Manage,222-33-444,22B Processing Center,US,121224
A014,Boston Managing Holdings Resolution Group,222-33-444,22B Processing Center,US,121225
A015,Boston Hold Resolve Holdings,222-33-444,22B Process Center,US,121226
A016,Boston Manage Partners,222-33-444,22B Process Center,US,121227
A017,Boston Managing Capital,222-33-444,22B Processing Center,US,121228
A018,Boston Marketing Enterprises,222-33-444,22B Process Center,US,121229
A019,Boston Hold Resolve Solutions,222-33-444,22B Processing Center,US,121230
A020,Boston Managing LLC,222-33-444,22B Processing Center,US,121231
