entity_id,company_name,ssn_tax_id,address_line1,country_code,duns
B001,Boston Manage Enterprises,222-33-444,22B Process Center,US,121212
B002,Boston Hold Resolve Solutions,222-33-444,22B Process Center,US,121213
B003,Boston Managing LLC,222-33-444,22B Processing Center,US,121214
B004,Boston Manage Corporation,222-33-444,22B Process Center,US,121215
B005,Boston Managing Limited,222-33-444,22B Processing Center,US,121216
B006,Boston Hold Resolve Company,222-33-444,22B Process Center,US,121217
B007,Boston Managing Services,222-33-444,22B Processing Center,US,121218
B008,Boston Manage,222-33-444,22B Process Center,US,121219
B009,The Boston Manage,222-33-444,22B Process Center,US,121220
B010,Boston Managing Group,222-33-444,22B Process Center,US,121221
B011,Boston Management Holdings,222-33-444,22B Processing Center,US,121222
B012,Boston Hold Resolve Partners,222-33-444,22B Processing Center,US,121223
B013,Boston Managed Capital,222-33-444,22B Process Center,US,121224
B014,Boston Managing Enterprises,222-33-444,22B Processing Center,US,121225
B015,Boston Managed Solutions,222-33-444,22B Processing Center,US,121226
B016,Boston Managing Holdings Resolution LLC,222-33-444,22B Processing Center,US,121227
B017,Boston Manage Corporation,222-33-444,22B Process Center,US,121228
B018,Boston Manage Limited,222-33-444,22B Processing Center,US,121229
B019,Boston Management Company,222-33-444,22B Process Center,US,121230
B020,Boston Hold Resolve Services,222-33-444,22B Process Center,US,121231
