entity_id,entity_id,score,relationship_type,reason,rank,address_line1,company_name,country_code,duns,ssn_tax_id
B001,A001,,match,crossmap,,22B Processing Center,Boston Managing Holdings Resolution Group,US,121212,222-33-444
B002,A002,,match,crossmap,,22B Processing Center,Boston Managing Holdings,US,121213,222-33-444
B003,A003,,match,crossmap,,22B Process Center,Boston Manage Partners,US,121214,222-33-444
B004,A004,,match,crossmap,,22B Processing Center,Boston Holding Resolution Capital,US,121215,222-33-444
B005,A005,,match,crossmap,,22B Process Center,Boston Manage Enterprises,US,121216,222-33-444
B006,A006,,match,crossmap,,22B Processing Center,Boston Managing Solutions,US,121217,222-33-444
B007,A007,,match,crossmap,,22B Process Center,Boston Management LLC,US,121218,222-33-444
B008,A008,,match,crossmap,,22B Processing Center,Boston Managed Corporation,US,121219,222-33-444
B009,A009,,match,crossmap,,22B Processing Center,Boston Managing Holdings Resolution Limited,US,121220,222-33-444
B010,A010,,match,crossmap,,22B Processing Center,Boston Hold Resolve Company,US,121221,222-33-444
B011,A011,,match,crossmap,,22B Process Center,Boston Managing Services,US,121222,222-33-444
B012,A012,,match,crossmap,,22B Process Center,Boston Managed,US,121223,222-33-444
B013,A013,,match,crossmap,,22B Processing Center,The Boston Manage,US,121224,222-33-444
B014,A014,,match,crossmap,,22B Processing Center,Boston Managing Holdings Resolution Group,US,121225,222-33-444
B015,A015,,match,crossmap,,22B Process Center,Boston Hold Resolve Holdings,US,121226,222-33-444
B016,A016,,match,crossmap,,22B Process Center,Boston Manage Partners,US,121227,222-33-444
B017,A017,,match,crossmap,,22B Processing Center,Boston Managing Capital,US,121228,222-33-444
B018,A018,,match,crossmap,,22B Process Center,Boston Marketing Enterprises,US,121229,222-33-444
B019,A019,,match,crossmap,,22B Processing Center,Boston Hold Resolve Solutions,US,121230,222-33-444
B020,A020,,match,crossmap,,22B Processing Center,Boston Managing LLC,US,121231,222-33-444
