entity_id,entity_id,score,relationship_type,reason,rank,address_line1,company_name,country_code,ssn_tax_id
B001,A018,0.8138,review,top_scoring,2,22B Process Center,Boston Marketing Enterprises,US,222-33-444
B002,A019,0.9500,match,top_scoring,1,22B Processing Center,Boston Hold Resolve Solutions,US,222-33-444
B003,A020,1.0000,match,top_scoring,1,22B Processing Center,Boston Managing LLC,US,222-33-444
B004,A008,0.8728,match,top_scoring,1,22B Processing Center,Boston Managed Corporation,US,222-33-444
B005,A020,0.8038,review,top_scoring,1,22B Processing Center,Boston Managing LLC,US,222-33-444
B006,A010,0.9500,match,top_scoring,1,22B Processing Center,Boston Hold Resolve Company,US,222-33-444
B007,A011,0.9500,match,top_scoring,1,22B Process Center,Boston Managing Services,US,222-33-444
B008,A013,0.9006,match,top_scoring,1,22B Processing Center,The Boston Manage,US,222-33-444
B009,A012,0.7977,review,top_scoring,2,22B Process Center,Boston Managed,US,222-33-444
B010,A011,0.7570,review,top_scoring,1,22B Process Center,Boston Managing Services,US,222-33-444
B011,A002,0.8875,match,top_scoring,1,22B Processing Center,Boston Managing Holdings,US,222-33-444
B012,A010,0.8497,review,top_scoring,1,22B Processing Center,Boston Hold Resolve Company,US,222-33-444
B013,A017,0.8405,review,top_scoring,1,22B Processing Center,Boston Managing Capital,US,222-33-444
B014,A005,0.8928,match,top_scoring,1,22B Process Center,Boston Manage Enterprises,US,222-33-444
B015,A006,0.8666,match,top_scoring,1,22B Processing Center,Boston Managing Solutions,US,222-33-444
B016,A001,,match,crossmap,,22B Processing Center,Boston Managing Holdings Resolution Group,US,222-33-444
B017,A005,0.8422,review,top_scoring,2,22B Process Center,Boston Manage Enterprises,US,222-33-444
B018,A013,0.7770,review,top_scoring,1,22B Processing Center,The Boston Manage,US,222-33-444
B019,A007,0.8782,match,top_scoring,1,22B Process Center,Boston Management LLC,US,222-33-444
B020,A010,0.7668,review,top_scoring,1,22B Processing Center,Boston Hold Resolve Company,US,222-33-444
