entity_id,company_name,ssn_tax_id,address_line1,country_code,duns
A001,Boston Consulting Group,111-22-3333,16 Hayward Avenue,US,2345678
A002,Boston Consulting Holdings,111-22-3333,16 Hayward Avenue,US,2345679
A003,BCG Partners,111-22-3333,16 Hayward Ave,US,2345680
A004,BCG Capital,111-22-3333,16 Hayward Avenue,US,2345681
A005,Boston Consulting Enterprises,111-22-3333,16 Hayward Avenue,US,2345682
A006,BCG Advisory Solutions,111-22-3333,16 Hayward Ave,US,2345683
A007,Boston Consulting LLC,111-22-3333,39 Hayward.Avn,US,2345684
A008,BCG Corporation,111-22-3333,16 Hayward Avenue,US,2345685
A009,BCG Advisory Limited,111-22-3333,16 Hayward Avenue,US,2345686
A010,Boston Consulting Company,111-22-3333,16 Hayward Ave,US,2345687
A011,BCG Services,111-22-3333,16 Hayward Avenue,US,2345688
A012,Boston Consulting,111-22-3333,16 Hayward Ave,US,2345689
A013,The BCG Advisory,111-22-3333,16 Hayward Avenue,US,2345690
A014,Boston Consulting Group,111-22-3333,16 Hayward Avenue,US,2345691
A015,BCG Holdings,111-22-3333,16 Hayward Ave,US,2345692
A016,Boston Consulting Partners,111-22-3333,16 Hayward Avenue,US,2345693
A017,BCG Advisory Capital,111-22-3333,16 Hayward Avenue,US,2345694
A018,Boston Consulting Enterprises,111-22-3333,16 Hayward Ave,US,2345695
A019,BCG Solutions,111-22-3333,16 Hayward Avenue,US,2345696
A020,Boston Consulting LLC,111-22-3333,16 Hayward Avenue,US,2345697
