entity_id,company_name,ssn_tax_id,address_line1,country_code,duns
B001,BCG Enterprises,111-22-3333,16 Hayward Ave,US,2345678
B002,BCG Advisory Solutions,111-22-3333,16 Hayward Avenue,US,2345679
B003,Boston Consulting LLC,111-22-3333,16 Hayward Avenue,US,2345680
B004,BCG Advisory Corporation,111-22-3333,16 Hayward Ave,US,2345681
B005,BCG Limited,111-22-3333,16 Hayward Ave,US,2345682
B006,Boston Consulting Company,111-22-3333,16 Hayward Avenue,US,2345683
B007,BCG Services,111-22-3333,16 Hayward Avenue,US,2345684
B008,Boston Consulting,111-22-3333,39 Hayward.Av,US,2345685
B009,The Boston Consulting,111-22-3333,16 Hayward Avenue,US,2345686
B010,BCG Advisory Group,111-22-3333,16 Hayward Avenue,US,2345687
B011,Boston Consulting Holdings,111-22-3333,16 Hayward Ave,US,2345688
B012,BCG Advisory Partners,111-22-3333,16 Hayward Avenue,US,2345689
B013,BCG Capital,111-22-3333,39 Hayward.A,US,2345690
B014,BCG Enterprises,111-22-3333,16 Hayward Avenue,US,2345691
B015,Boston Consulting Solutions,111-22-3333,16 Hayward Avenue,US,2345692
B016,BCG Advisory LLC,111-22-3333,16 Hayward Av,US,2345693
B017,Boston Consulting Corporation,111-22-3333,16 Hayward Ave,US,2345694
B018,BCG Limited,111-22-3333,16 Hwrd Avenue,US,2345695
B019,BCG Advisory Company,111-22-3333,16 Hayward Ave,US,2345696
B020,BCG Services,111-22-3333,16 Hayward Avenue,US,2345697
