entity_id,entity_id,score,relationship_type,reason,rank,address_line1,company_name,country_code,duns,ssn_tax_id
B001,A001,,match,crossmap,,16 Hayward Avenue,Boston Consulting Group,US,2345678,111-22-3333
B002,A002,,match,crossmap,,16 Hayward Avenue,Boston Consulting Holdings,US,2345679,111-22-3333
B003,A003,,match,crossmap,,16 Hayward Ave,BCG Partners,US,2345680,111-22-3333
B004,A004,,match,crossmap,,16 Hayward Avenue,BCG Capital,US,2345681,111-22-3333
B005,A005,,match,crossmap,,16 Hayward Avenue,Boston Consulting Enterprises,US,2345682,111-22-3333
B006,A006,,match,crossmap,,16 Hayward Ave,BCG Advisory Solutions,US,2345683,111-22-3333
B007,A007,,match,crossmap,,16 Hayward Ave,Boston Consulting LLC,US,2345684,111-22-3333
B008,A008,,match,crossmap,,16 Hayward Avenue,BCG Corporation,US,2345685,111-22-3333
B009,A009,,match,crossmap,,16 Hayward Avenue,BCG Advisory Limited,US,2345686,111-22-3333
B010,A010,,match,crossmap,,16 Hayward Ave,Boston Consulting Company,US,2345687,111-22-3333
B011,A011,,match,crossmap,,16 Hayward Avenue,BCG Services,US,2345688,111-22-3333
B012,A012,,match,crossmap,,16 Hayward Ave,Boston Consulting,US,2345689,111-22-3333
B013,A013,,match,crossmap,,16 Hayward Avenue,The BCG Advisory,US,2345690,111-22-3333
B014,A014,,match,crossmap,,16 Hayward Avenue,Boston Consulting Group,US,2345691,111-22-3333
B015,A015,,match,crossmap,,16 Hayward Ave,BCG Holdings,US,2345692,111-22-3333
B016,A016,,match,crossmap,,16 Hayward Avenue,Boston Consulting Partners,US,2345693,111-22-3333
B017,A017,,match,crossmap,,16 Hayward Avenue,BCG Advisory Capital,US,2345694,111-22-3333
B018,A018,,match,crossmap,,16 Hayward Ave,Boston Consulting Enterprises,US,2345695,111-22-3333
B019,A019,,match,crossmap,,16 Hayward Avenue,BCG Solutions,US,2345696,111-22-3333
B020,A020,,match,crossmap,,16 Hayward Avenue,Boston Consulting LLC,US,2345697,111-22-3333
