entity_id,company_name,ssn_tax_id,address_line1,country_code,duns
A001,First National Bank Group,666-77-9991,100 Second Avenue,US,2345678
A002,1st National Bank Holdings,666-77-9991,100 2nd Ave,US,2345679
A003,First National Bank Partners,666-77-9991,100 2nd Avenue,US,2345680
A004,1st National Trust Capital,666-77-9991,100 2nd Avenue,US,2345681
A005,First National Bank Enterprises,666-77-9991,100 Second Avenue,US,2345682
A006,1st National Bank Solutions,666-77-9991,100 2nd Avenue,US,2345683
A007,First National Bank LLC,666-77-9991,100 Second Avenue,US,2345684
A008,First National Trust Corporation,666-77-9991,100 2nd Avenue,US,2345685
A009,1st National Bank Limited,666-77-9991,100 2nd Avenue,US,2345686
A010,First National Bank Company,666-77-9991,100 Second Avenue,US,2345687
A011,1st National Trust Services,666-77-9991,100 Second Avenue,US,2345688
A012,First National Bank,666-77-9991,100 2nd Avenue,US,2345689
A013,The 1st National Bank,666-77-9991,100 Second Avenue,US,2345690
A014,First National Trust Group,666-77-9991,100 2nd Avenue,US,2345691
A015,1st National Bank Holdings,666-77-9991,100 2nd Avenue,US,2345692
A016,First National Bank Partners,666-77-9991,100 Second Ave,US,2345693
A017,First National Trust Capital,666-77-9991,100 Second Avenue,US,2345694
A018,1st National Bank Enterprises,666-77-9991,100 2nd Avenue,US,2345695
A019,First National Bank Solutions,666-77-9991,100 Second Avenue,US,2345696
A020,1st National Trust LLC,666-77-9991,100 Second Avenue,US,2345697
