entity_id,company_name,ssn_tax_id,address_line1,country_code,duns
A001,Henry IV Group,77778888,Building V First Avenue,US,1122334
A002,Henry IV Holdings,77778888,Building 5 First Avenue,US,1122335
A003,Henry 4 Partners,77778888,Building V First Avenue,US,1122336
A004,Henry IV Capital,77778888,Building 5 1st Ave,US,1122337
A005,Henry 4 Enterprises,77778888,Building V First Avenue,US,1122338
A006,Henry IV Solutions,77778888,Building 5 First Avenue,US,1122339
A007,Henry 4 LLC,77778888,Building V First Avenue,US,1122340
A008,Henry IV Corporation,77778888,Building 5 1st Ave,US,1122341
A009,Henry 4 Limited,77778888,Building V First Avenue,US,1122342
A010,Henry IV Company,77778888,Building 5 First Avenue,US,1122343
A011,Henry 4 Services,77778888,Building V First Avenue,US,1122344
A012,Henry IV,77778888,Building 5 1st Ave,US,1122345
A013,The Henry 4,77778888,Building V First Avenue,US,1122346
A014,Henry IV Group,77778888,Building 5 First Avenue,US,1122347
A015,Henry 4 Holdings,77778888,Building V First Avenue,US,1122348
A016,Henry IV Partners,77778888,Building 5 1st Ave,US,1122349
A017,Henry 4 Capital,77778888,Building V First Avenue,US,1122350
A018,Henry IV Enterprises,77778888,Building 5 First Avenue,US,1122351
A019,Henry 4 Solutions,77778888,Building V First Avenue,US,1122352
A020,Henry IV LLC,77778888,Building 5 1st Ave,US,1122353
