entity_id,company_name,ssn_tax_id,address_line1,country_code,duns
B001,Henry 4 Enterprises,77778888,Building 5 First Avenue,US,1122334
B002,Henry 4 Solutions,77778888,Building V First Avenue,US,1122335
B003,Henry IV LLC,77778888,Building 5 1st Ave,US,1122336
B004,Henry 4 Corporation,77778888,Building V First Avenue,US,1122337
B005,Henry IV Limited,77778888,Building 5 First Avenue,US,1122338
B006,Henry 4 Company,77778888,Building V First Avenue,US,1122339
B007,Henry IV Services,77778888,Building 5 1st Ave,US,1122340
B008,Henry 4,77778888,Building V First Avenue,US,1122341
B009,The Henry IV,77778888,Building 5 First Avenue,US,1122342
B010,Henry 4 Group,77778888,Building V First Avenue,US,1122343
B011,Henry IV Holdings,77778888,Building 5 1st Ave,US,1122344
B012,Henry 4 Partners,77778888,Building V First Avenue,US,1122345
B013,Henry IV Capital,77778888,Building 5 First Avenue,US,1122346
B014,Henry 4 Enterprises,77778888,Building V First Avenue,US,1122347
B015,Henry IV Solutions,77778888,Building 5 1st Ave,US,1122348
B016,Henry 4 LLC,77778888,Building V First Avenue,US,1122349
B017,Henry IV Corporation,77778888,Building 5 First Avenue,US,1122350
B018,Henry 4 Limited,77778888,Building V First Avenue,US,1122351
B019,Henry IV Company,77778888,Building 5 1st Ave,US,1122352
B020,Henry 4 Services,77778888,Building V First Avenue,US,1122353
