entity_id,company_name,ssn_tax_id,address_line1,country_code,duns
ENR_001,Henry IV Enterprises,77778888,Building 5 1st Ave,US,1122353
ENR_002,Henry IV Solutions,77778888,Building 5 First Avenue,US,1122339
ENR_003,Henry 4 LLC,77778888,Building V First Avenue,US,1122348
ENR_004,Henry 4 Corporation,77778888,Building V First Avenue,US,1122338
ENR_005,Henry IV Company Limited,77778888,Building 5 First Avenue,US,1122343
ENR_006,Henry IV Company,77778888,Building 5 First Avenue,US,1122347
ENR_007,Henry IV Services,77778888,Building 5 1st Ave,US,1122349
ENR_008,Henry 4,77778888,Building V First Avenue,US,1122352
ENR_009,The Henry 4,77778888,Building V First Avenue,US,1122340
ENR_010,The Henry 4 Group,77778888,Building V First Avenue,US,1122346
ENR_011,Henry IV Holdings,77778888,Building 5 First Avenue,US,1122351
ENR_012,Henry 4 Partners,77778888,Building V First Avenue,US,1122344
ENR_013,Henry IV Capital,77778888,Building 5 First Avenue,US,1122335
ENR_014,Henry IV Enterprises,77778888,Building 5 1st Ave,US,1122345
ENR_015,Henry 4 Solutions,77778888,Building V First Avenue,US,1122336
NEG_001,Northwind Logistics Group,77778888,Building V First Avenue,US,1122343
NEG_002,Harbor & Pine Capital,77778888,Building 5 First Avenue,US,1122350
NEG_003,Summit Health Partners,77778888,Building 5 1st Ave,US,1122344
NEG_004,Blue Harbor Foods Ltd,77778888,Building V First Avenue,US,1122351
NEG_005,Crestview Telecom Holdings,77778888,Building 5 1st Ave,US,1122352
