entity_id,company_name,ssn_tax_id,address_line1,country_code,duns
B001,Amaxon Enterprises,33331111,300 Main Street,US,5566778
B002,Amazon Solutions,33331111,300 Mian Street,US,5566779
B003,Amazon LLC,33331111,300 Main Street,US,5566780
B004,Amaxon Corporation,33331111,300 Main Street,US,5566781
B005,Amazon Limited,33331111,300 Main Street,US,5566782
B006,Amdspo Company,33331111,300 Mulo Street,US,5566783
B007,Amazon Services,33331111,300 Main Street,US,5566784
B008,Amaxon,33331111,300 Mian Street,US,5566785
B009,The Amazon,33331111,300 Main Street,US,5566786
B010,Amaxon Group,33331111,300 Main Street,US,5566787
B011,Amazon Holdings,33331111,300 Main Street,US,5566788
B012,Amdspo Partners,33331111,300 Mulo Street,US,5566789
B013,Amazon Capital,33331111,300 Main Street,US,5566790
B014,Amaxon Enterprises,33331111,300 Mian Street,US,5566791
B015,Amazon Solutions,33331111,300 Main Street,US,5566792
B016,Amaxon LLC,33331111,300 Main Street,US,5566793
B017,Amazon Corporation,33331111,300 Main Street,US,5566794
B018,Amdspo Limited,33331111,300 Mulo Street,US,5566795
B019,Amdspo Company,33331111,300 Mulo Street,US,5566796
B020,Amazon Services,33331111,300 Main Street,US,5566797
