entity_id,company_name,ssn_tax_id,address_line1,country_code,duns
B001,Bank of India Union Enterprises,24242424,175 Bryan Lane,US,4433221
B002,Union Bank of India Solutions,24242424,175 Bryan Lane,US,4433222
B003,Union Bank of India LLC,24242424,175 Bryan Lane,US,4433223
B004,Bank of India Union Corporation,24242424,175 Bryan Lane,US,4433224
B005,India Bank of Union Limited,24242424,175 Bryan Lane,US,4433225
B006,OF India Bank Union Company,24242424,175 Bryan Lane,US,4433226
B007,Bank of India Union Services,24242424,175 Bryan Lane,US,4433227
B008,OF India Bank Union,24242424,175 Bryan Lane,US,4433228
B009,The India Bank of Union,24242424,175 Bryan Lane,US,4433229
B010,Union Bank of India Group,24242424,175 Bryan Lane,US,4433230
B011,Bank of India Union Holdings,24242424,175 Bryan Lane,US,4433231
B012,OF India Bank Union Partners,24242424,175 Bryan Lane,US,4433232
B013,India Bank of Union Capital,24242424,175 Bryan Lane,US,4433233
B014,Bank of India Union Enterprises,24242424,175 Bryan Lane,US,4433234
B015,Union Bank of India Solutions,24242424,175 Bryan Lane,US,4433235
B016,OF India Bank Union LLC,24242424,175 Bryan Lane,US,4433236
B017,India Bank of Union Corporation,24242424,175 Bryan Lane,US,4433237
B018,Union Bank of India Limited,24242424,175 Bryan Lane,US,4433238
B019,Bank of India Union Company,24242424,175 Bryan Lane,US,4433239
B020,Union Bank of India Services,24242424,175 Bryan Lane,US,4433240
