entity_id,company_name,ssn_tax_id,address_line1,country_code,duns
B001,Info Tech Technologies Enterprises,234-56-7891,420 Montgomery Street,US,3451237
B002,Infolease Technologies Solutions,234-56-7891,420 Montgomery Street,US,3451238
B003,Infolease Technologies LLC,234-56-7891,420 Montgomery Street,US,3451239
B004,Infolease Tech Corporation,234-56-7891,420 Montgomery Street,US,3451240
B005,Storelease Technologies Limited,234-56-7891,420 Montgomery Street,US,3451241
B006,Infolease Technologies Company,234-56-7891,420 Montgomery St,US,3451242
B007,Info Tech Technologies Services,123-46-7891,420 Montgomery Street,US,3451243
B008,Infolease Tech,234-56-7891,420 Montgomery Street,US,3451244
B009,The Infolease Technologies,234-56-7891,420 Montgomery Street,US,3451245
B010,Info Tech Technologies Group,234-56-7891,420 Montgomery Street,US,3451246
B011,Infolease Technologies Holdings,234-56-7891,420 Montgomery Street,US,3451247
B012,Infolease Tech Partners,123-46-7891,420 Montgomery Street,US,3451248
B013,Info Tech Technologies Capital,234-56-7891,420 Montgomery Street,US,3451249
B014,Storelease Technologies Enterprises,123-46-7891,420 Montgomery Street,US,3451250
B015,Infolease Technologies Solutions,234-56-7891,420 Montgomery Street,US,3451251
B016,Infolease Technologies LLC,234-56-7891,420 Montgomery Street,US,3451252
B017,Info Tech Technologies Corporation,234-56-7891,420 Montgomery Street,US,3451253
B018,Storelease Technologies Limited,234-56-7891,420 Montgomery Street,US,3451254
B019,Infolease Tech Company,234-56-7891,420 Montgomery Street,US,3451255
B020,Info Tech Technologies Services,123-46-7891,420 Montgomery Street,US,3451256
